Name,id,Artist,Duration,Release_date,Popularity
Öyle Dertli,4wFjyPcfGWGYMwnztbzEQd,Duman,301734,2023-12-24T10:51:24Z,59
Haberin Yok Ölüyorum,0JVaHDV9om0itoYoYpBBPT,Duman,361080,2023-12-24T10:51:24Z,59
Kalbinde Birileri Var,2FgmDd6M9OM9CjKHn9ckxU,Perdenin Ardındakiler,197702,2023-12-27T12:24:20Z,61
Beni Aşka İnandır,1IfmI8k7GUykUXnKG6cvPB,Kolpa,253654,2023-12-27T12:24:21Z,63
Mesafe,7IExKuaQ33gtHIOYQz6zb6,Serdar Ortaç,301960,2023-12-27T12:24:21Z,63
Biri Vardı,5fpRPaDeHXncLV6r4zhaUw,Pera,250327,2023-12-27T12:24:22Z,63
Sen Ağlama,6vbgHYlDD0fwSU54D2bD6o,Badem,221600,2023-12-27T12:24:22Z,61
Yaramızda Kalsın,45OnzxxdG54d8Vrw9Wu1LB,Onur Can Özcan,211500,2023-12-27T12:24:22Z,64
Dünyanın En Güzel Kızı,3naYqiHrwFLitIKYHHJgvo,Mavi Gri,217750,2023-12-27T12:24:23Z,61
Uykusuz ve Dengesiz,6WWWxMoe1w971lhmidgnCM,Yüzyüzeyken Konuşuruz,219655,2023-12-27T12:24:23Z,61
Ankara'yla Bozuşuruz,331L2mzSnATjKw0dI6JGXv,Perdenin Ardındakiler,164005,2023-12-27T12:24:23Z,63
Sen Ona Aşıksın - Kabullenme,3ihSHXwWbL1vLp1gbrJEEG,Model,229496,2023-12-27T12:24:24Z,63
Dursun Zaman (feat. Göksel),110lLYj8VghNryOewSj15h,maNga,295866,2023-12-27T12:24:24Z,63
Benimle Kayboldun,6pJI8iZBKPuMjWDstvO081,Kaan Boşnak,189521,2023-12-27T12:24:25Z,63
Haydi Gel İçelim,6b0iQwJFAjQz8bwJbUIUQb,Yüksek Sadakat,250440,2023-12-27T12:24:25Z,62
Son Durağın,63PJ7AVOjL5WcaYmPxiblX,Kahraman Deniz,236630,2023-12-27T12:24:25Z,64
Kendime Yalan Söyledim,5hYb9RIvqvk8J6mjMNL4pc,Seksendört,267080,2023-12-27T12:24:26Z,65
Seni Kimler Aldı,0o2xtLCzHseeiUMYMGFDcC,Sezen Aksu,208546,2023-12-27T12:24:26Z,61
Ölürüm Hasretinle,6y3vkPoWtLtYSvTqHBKO4z,Seksendört,287788,2023-12-27T12:24:27Z,62
Değmesin Ellerimiz,0RoQ5sk1Z9PH2xki3gv5hO,Model,267702,2023-12-27T12:24:27Z,65
İyileşiyorum,5ZUStL29EBTjtM8ptUrDXc,Sertab Erener,257760,2023-12-27T12:24:27Z,62
Sadece,5PBCWGudD3lw0Qhk7jLMUo,Kalben,175996,2023-12-27T12:24:28Z,66
Kısa Mesafe,7AeN1Miu6Io3ewNUdBzhyy,Rafat Hasanlı,147497,2023-12-27T12:24:38Z,68
Giderdi Hoşuma,7LXZEyI1ke06UnmuwG4P8d,Yaşlı Amca,220530,2023-12-27T12:24:41Z,64
Galiba - Orijinal Rap Versiyon,6uuQZFYzeUf1NR5tucdjj5,Sagopa Kajmer,300506,2023-12-27T12:24:41Z,64
Anıları Sakla,5035Pnz4KHUNX6Hhk4A2H5,Batuhan Kordel,216789,2023-12-27T12:24:41Z,62
